,Brand,Model_new,Age,CC
1,HERO,HF DELUXE,2,97.0
4,TVS,JUPITER,2,110.0
8,TVS,JUPITER ZX,2,110.0
11,BAJAJ,PULSAR 150,5,150.0
16,YAMAHA,FASCINO,2,113.0
21,ROYAL ENFIELD,CLASSIC 350,4,350.0
23,TVS,SCOOTY PEPPLUS,4,88.0
25,HONDA,DIO,4,110.0
26,BAJAJ,PULSAR 220,6,220.0
35,YAMAHA,FZS,5,149.0
47,SUZUKI,ACCESS 125,1,124.0
53,TVS,APACHE RTR160,6,160.0
58,TVS,XL SUPER,7,70.0
77,HERO,SPLENDOR PLUS,1,97.0
88,BAJAJ,CT 100,3,102.0
142,HONDA,SHINE,0,125.0
170,HERO,PASSION PRO,2,110.0
184,HONDA,CB UNICORN 160,4,150.0
226,TVS,WEGO,5,110.0
229,HONDA,AVIATOR,4,110.0
293,TVS,SPORT,5,110.0
301,TVS,SCOOTY PEP PLUS,5,88.0
384,HONDA,ACTIVA 125,5,125.0
406,HONDA,ACTIVA,7,110.0
